text,text_clean,label,confidence,timestamp
Kurikulum jelek banget,kurikulum jelek banget,Negatif,0.9205260276794434,2026-07-02 11:44:12
"Hebat sekali ya sistem sekarang, saking hebatnya sampai guru tidak sempat istirahat karena harus isi platform terus.",hebat sekali ya sistem sekarang saking hebatnya sampai guru tidak sempat istirahat karena harus isi platform terus,Negatif,0.6077775955200195,2026-07-02 11:46:09
Kurikulum yg sangat bagus untuk diterapkan ,kurikulum yang sangat bagus untuk diterapkan,Positif,0.8732730150222778,2026-07-02 11:49:28
Hidup JOKOWII!!!!!,hidup jokowii,Negatif,0.6458466053009033,2026-07-02 11:50:15
Hidup JOKOWIIII,hidup jokowiiii,Negatif,0.5777765512466431,2026-07-02 11:50:37
Hidup pak ganjar,hidup pak ganjar,Netral,0.6432561278343201,2026-07-02 11:50:48
Hidup jokowiiii,hidup jokowiiii,Negatif,0.5777765512466431,2026-07-02 11:50:55
Kurikulumnya sangat membingungkan!,kurikulumnya sangat membingungkan,Negatif,0.8655978441238403,2026-07-04 10:22:59
prabowo,prabowo,Netral,0.752394437789917,2026-07-04 10:24:34
Prabowo tolong lanjutkan program MBG,prabowo tolong lanjutkan program mbg,Netral,0.5261181592941284,2026-07-04 10:24:54
Mas zurna begal,mas zurna begal,Netral,0.7343514561653137,2026-07-04 10:26:24
Pelatihan AMCC sangat lancar,pelatihan amcc sangat lancar,Netral,0.6653885245323181,2026-07-04 10:26:47
